Date,Plateforme,Type de Contenu,Titre/Description,Heure Publication,Statut,Hashtags,Performance (vues),Notes
2025-01-01,TikTok,Clip Gaming,"Best play de la semaine",18:00,Publié,"#gaming #clip #twitch #streamer",12500,"Très bon engagement"
2025-01-01,Twitter,Annonce Live,"🔴 LIVE dans 1h ! On joue à Valorant",19:00,Publié,"#live #valorant #twitch",850,"Bonne portée"
2025-01-02,Instagram,Reel,"Behind the scenes de mon setup",12:00,Publié,"#setup #streaming #gamer",3200,"Format vertical marche bien"
2025-01-02,YouTube,Short,"Comment j'ai eu 1000 followers en 1 mois",14:00,Planifié,"#shorts #twitch #growth",,""
2025-01-03,TikTok,Tuto,"3 tips pour améliorer ton stream",18:00,Brouillon,"#tips #streaming #tutorial",,""
2025-01-03,Discord,Annonce,"Game Night vendredi 20h !",20:00,Planifié,"",,""
2025-01-04,Twitter,Thread,"🧵 Comment j'ai monétisé ma chaîne en 6 mois",10:00,Brouillon,"",,""
2025-01-04,Instagram,Story,"Sondage: Quel jeu ce soir?",17:00,Planifié,"",,""
2025-01-05,TikTok,Clip,"Fail épique en live 😂",18:00,Idée,"#fail #funny #streaming",,""
2025-01-05,YouTube,Vidéo,"Setup Tour 2025 - Mon équipement complet",14:00,Idée,"#setup #gear #streaming",,""
2025-01-06,Twitter,Engagement,"Réponses aux questions de la commu",11:00,Planifié,"",,""
2025-01-06,Instagram,Carrousel,"10 erreurs de débutant en streaming",12:00,Brouillon,"",,""
2025-01-07,TikTok,Trend,"Participation au trend du moment",18:00,Idée,"",,""
2025-01-07,Discord,Event,"AMA avec la communauté",21:00,Planifié,"",,""
