Métrique,Semaine 1,Semaine 2,Semaine 3,Semaine 4,Total Mois,Objectif,Progression
=== TWITCH ===,,,,,,
Viewers Moyens,45,52,48,61,52,100,"52%"
Viewers Max,125,142,138,189,149,250,"60%"
Heures Streamées,12,14,11,15,52,60,"87%"
Nouveaux Followers,89,112,95,134,430,500,"86%"
Nouveaux Subs,3,5,2,7,17,25,"68%"
Bits Reçus,450,680,320,890,2340,3000,"78%"
Raids Reçus,2,1,3,2,8,10,"80%"
Clips Créés,15,22,18,28,83,100,"83%"
=== TIKTOK ===,,,,,,
Vues Totales,25000,32000,28000,45000,130000,200000,"65%"
Nouveaux Followers,450,520,380,680,2030,3000,"68%"
Likes,3200,4100,3500,5800,16600,25000,"66%"
Commentaires,120,180,95,245,640,800,"80%"
Partages,45,68,52,89,254,400,"64%"
=== YOUTUBE ===,,,,,,
Vues,5200,6800,4900,8200,25100,40000,"63%"
Nouveaux Abonnés,85,112,78,145,420,600,"70%"
Temps de Visionnage (h),280,340,260,420,1300,2000,"65%"
CTR Miniatures,4.2%,4.8%,4.1%,5.2%,4.6%,6%,"77%"
=== TWITTER/X ===,,,,,,
Impressions,12000,15000,11000,18000,56000,80000,"70%"
Nouveaux Followers,120,145,98,178,541,700,"77%"
Engagements,450,580,380,720,2130,3000,"71%"
Clics Profil,85,110,72,135,402,500,"80%"
=== INSTAGRAM ===,,,,,,
Reach,8500,9200,7800,11000,36500,50000,"73%"
Nouveaux Followers,180,220,165,285,850,1000,"85%"
Likes Reels,1200,1450,980,1680,5310,7000,"76%"
Saves,45,62,38,78,223,300,"74%"
=== DISCORD ===,,,,,,
Nouveaux Membres,45,52,38,68,203,250,"81%"
Messages/Jour (moy),125,142,118,165,138,200,"69%"
Membres Actifs,320,345,310,380,339,500,"68%"
=== REVENUS ===,,,,,,
Subs Twitch (€),15,25,10,35,85,150,"57%"
Bits (€),4.5,6.8,3.2,8.9,23.4,30,"78%"
Donations (€),12,25,8,45,90,100,"90%"
Sponsoring (€),0,0,0,150,150,200,"75%"
YouTube Ads (€),8,12,7,15,42,60,"70%"
TOTAL REVENUS (€),39.5,68.8,28.2,253.9,390.4,540,"72%"
